name,method,param,exact_match_strict,exact_match_flex,n_samples,seconds,timestamp
baseline,baseline,0,0.8498862774829417,0.8483699772554966,2638,9088.26,2026-05-27T02:14:50
q4_per_head,quant,4,0.8066717210007581,0.8013646702047005,2638,9388.85,2026-05-27T04:51:19
q8_per_head,quant,8,0.8544351781652767,0.8514025777103866,2638,9189.97,2026-05-27T07:24:29
svd_r1,svd,1,0.7323730098559514,0.711144806671721,2638,9476.99,2026-05-27T10:02:27
svd_r2,svd,2,0.8278999241849886,0.8218347232752085,2638,9329.94,2026-05-27T12:37:57
svd_r4,svd,4,0.8498862774829417,0.8468536770280516,2638,9165.48,2026-05-27T15:10:43
svd_r8,svd,8,0.8627748294162244,0.8612585291887794,2638,9198.50,2026-05-27T17:44:02
svd_r12,svd,12,0.8476118271417741,0.8476118271417741,2638,9102.89,2026-05-27T20:15:45
svd_r16,svd,16,0.8521607278241091,0.8498862774829417,2638,9366.91,2026-05-27T22:51:53
svd_r24,svd,24,0.8620166793025019,0.8612585291887794,2638,10667.00,2026-05-28T01:49:40
hadamard_q4,hadamard_quant,4,0.36315390447308565,0.38968915845337376,2638,11028.99,2026-05-28T04:53:29
