model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
Nemotron-3-Nano-4B,-1,int8_layer_affine,6400,0.5414016759468393,0.026480652391910553,1.4740746021270752,7.671082496643066,19.0368709564209,0.8546875,0.5776885629087181
Nemotron-3-Nano-4B,-1,svd1,6400,0.07062033910791095,0.010599911212921143,0.10728083550930023,1.3244705200195312,14.461682319641113,0.96296875,0.03245156885435189
Nemotron-3-Nano-4B,-1,svd16,6400,0.0004496906398037728,1.3917965588916559e-05,0.0012197811156511307,0.0063904449343681335,0.14379388093948364,0.99609375,0.0004606352528669896
Nemotron-3-Nano-4B,-1,svd2,6400,0.02187207925745487,0.0018916710978373885,0.027025509625673294,0.3809095323085785,2.895430088043213,0.97875,0.012459196743688348
Nemotron-3-Nano-4B,-1,svd32,6400,0.00019967240462997693,4.384803105494939e-06,0.0005677773733623326,0.0021581649780273438,0.017567310482263565,0.99796875,9.09269081123982e-05
Nemotron-3-Nano-4B,-1,svd4,6400,0.007099178159636386,0.00013821350876241922,0.009213089942932129,0.10707058012485504,2.281630754470825,0.9871875,0.004717952861073649
Nemotron-3-Nano-4B,-1,svd8,6400,0.0017894335586619541,4.457726390683092e-05,0.002795923501253128,0.028165064752101898,0.8015071153640747,0.99375,0.0016209046686962514
Nemotron-3-Nano-4B,256,int8_layer_affine,6400,0.8947924999947737,0.21790353953838348,2.615229606628418,8.314164161682129,17.376628875732422,0.7128125,0.5912288783836565
Nemotron-3-Nano-4B,256,svd1,6400,0.11754880848337601,0.01021815836429596,0.21630197763442993,2.1876347064971924,12.357306480407715,0.9134375,0.03966875385138249
Nemotron-3-Nano-4B,256,svd16,6400,0.0007512964890360824,7.934666791697964e-05,0.0019274288788437843,0.006403610110282898,0.11319822072982788,0.993125,0.0004394221370845724
Nemotron-3-Nano-4B,256,svd2,6400,0.05279685938651026,0.003552422160282731,0.07414832711219788,0.8999237418174744,7.539196014404297,0.94875,0.015125858128248258
Nemotron-3-Nano-4B,256,svd32,6400,0.00037291812214933966,2.9866554541513324e-05,0.00136949319858104,0.0027649328112602234,0.019434258341789246,0.99421875,7.284403280527129e-05
Nemotron-3-Nano-4B,256,svd4,6400,0.016515097269281104,0.0011069601168856025,0.023340361192822456,0.20941366255283356,9.09146785736084,0.97296875,0.005519872572280418
Nemotron-3-Nano-4B,256,svd8,6400,0.004294750238113189,0.0002868181327357888,0.005489471834152937,0.0325939878821373,8.618809700012207,0.98640625,0.001749692393489005
