model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
Qwen3.5-4B,-1,int8_layer_affine,6400,0.11712950153052748,0.01679767668247223,0.23544451594352722,1.667462706565857,16.24880599975586,0.9265625,0.09832096038603293
Qwen3.5-4B,-1,svd1,6400,0.09835263977797651,0.010669566690921783,0.18790051341056824,1.2850341796875,12.500665664672852,0.93640625,0.19987220940335274
Qwen3.5-4B,-1,svd16,6400,0.007317152153489303,0.00016278530529234558,0.006382097955793142,0.04602038115262985,5.6350531578063965,0.98640625,0.01061384055651918
Qwen3.5-4B,-1,svd2,6400,0.0500790186946889,0.004864567890763283,0.08919959515333176,0.5371659398078918,11.543625831604004,0.9559375,0.11762404588594412
Qwen3.5-4B,-1,svd32,6400,0.0026709239510043915,5.594490357907489e-05,0.002397516742348671,0.014235028997063637,4.412953853607178,0.99,0.0029149316814922133
Qwen3.5-4B,-1,svd4,6400,0.02817174878882705,0.0017564721638336778,0.041324663907289505,0.275136798620224,10.601532936096191,0.97140625,0.06259970264082462
Qwen3.5-4B,-1,svd8,6400,0.015060479592631213,0.0005057970993220806,0.016307387501001358,0.10310078412294388,10.705207824707031,0.981875,0.028729296624854572
Qwen3.5-4B,256,int8_layer_affine,6400,0.11992654987765952,0.015848379582166672,0.21877114474773407,1.8771792650222778,14.488969802856445,0.91796875,0.09158116796667558
Qwen3.5-4B,256,svd1,6400,0.11675324682345779,0.014899112284183502,0.21823832392692566,1.748563289642334,14.654136657714844,0.91640625,0.19074449302162996
Qwen3.5-4B,256,svd16,6400,0.007774617257522709,0.00025262145209126174,0.004354618489742279,0.03536998853087425,9.019779205322266,0.98734375,0.007304521183493011
Qwen3.5-4B,256,svd2,6400,0.06452099905775117,0.006412669084966183,0.09966357797384262,0.9271406531333923,15.640670776367188,0.94234375,0.10835718195497361
Qwen3.5-4B,256,svd32,6400,0.003454161526931308,7.517790072597563e-05,0.0018776979995891452,0.007747974246740341,3.6951284408569336,0.99234375,0.0015718231894303871
Qwen3.5-4B,256,svd4,6400,0.036754351719011084,0.0023337858729064465,0.037212394177913666,0.3772279620170593,16.203262329101562,0.96375,0.05461168240678188
Qwen3.5-4B,256,svd8,6400,0.020898295692926082,0.0008166321786120534,0.013030407950282097,0.1286531388759613,13.721221923828125,0.9803125,0.022896976382471557
