model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
Mamba2-1.3B,-1,int8_layer_affine,4,4.131125764222816,1.315286636352539,9.339858055114746,9.339858055114746,9.339858055114746,0.25,0.31876731853117235
Mamba2-1.3B,-1,svd1,4,1.0281309206038713,0.6762300729751587,2.4874942302703857,2.4874942302703857,2.4874942302703857,0.25,0.11652952432632448
Mamba2-1.3B,-1,svd16,4,0.04179937965818681,0.0136488638818264,0.11506328731775284,0.11506328731775284,0.11506328731775284,1.0,0.0023057817403847975
Mamba2-1.3B,-1,svd2,4,0.5878844208782539,0.4922076165676117,1.2263458967208862,1.2263458967208862,1.2263458967208862,0.5,0.05375275388360023
Mamba2-1.3B,-1,svd32,4,0.0054201962921069935,0.001980740576982498,0.010091206058859825,0.010091206058859825,0.010091206058859825,1.0,0.00040135715486637
Mamba2-1.3B,-1,svd4,4,0.2159380076918751,0.2404325157403946,0.317113995552063,0.317113995552063,0.317113995552063,0.75,0.022484200385709606
Mamba2-1.3B,-1,svd8,4,0.06770853069610894,0.04666348174214363,0.12797726690769196,0.12797726690769196,0.12797726690769196,1.0,0.008126652954767149
Mamba2-1.3B,256,int8_layer_affine,4,0.030237655737437308,0.030820345506072044,0.05203232914209366,0.05203232914209366,0.05203232914209366,0.25,0.26290635613743996
Mamba2-1.3B,256,svd1,4,0.06851324625313282,0.04346054792404175,0.12113204598426819,0.12113204598426819,0.12113204598426819,0.75,0.12679364532232285
Mamba2-1.3B,256,svd16,4,0.00884373372537084,0.0009681080700829625,0.030928881838917732,0.030928881838917732,0.030928881838917732,0.75,0.0024816084963579974
Mamba2-1.3B,256,svd2,4,0.04228432127274573,0.01445468608289957,0.12111753225326538,0.12111753225326538,0.12111753225326538,0.75,0.061363495886325836
Mamba2-1.3B,256,svd32,4,0.0004636234702957154,0.00017808028496801853,0.0011184841860085726,0.0011184841860085726,0.0011184841860085726,1.0,0.00035468346322886646
Mamba2-1.3B,256,svd4,4,0.037618354544974864,0.014033684507012367,0.12019592523574829,0.12019592523574829,0.12019592523574829,0.5,0.025430558249354362
Mamba2-1.3B,256,svd8,4,0.009991150374844437,0.002802862785756588,0.03092821128666401,0.03092821128666401,0.03092821128666401,0.75,0.009057452591756979
