model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
Qwen3.5-4B,-1,int8_layer_affine,4,0.06702237739227712,0.029740910977125168,0.1667858362197876,0.1667858362197876,0.1667858362197876,0.75,0.10015052015660332
Qwen3.5-4B,-1,svd1,4,0.08304734597913921,0.036451034247875214,0.23667922616004944,0.23667922616004944,0.23667922616004944,1.0,0.1802978167931239
Qwen3.5-4B,-1,svd16,4,0.009384614939335734,0.005526779219508171,0.01642884686589241,0.01642884686589241,0.01642884686589241,1.0,0.010480753301332395
Qwen3.5-4B,-1,svd2,4,0.04062461433932185,0.022264204919338226,0.08865699917078018,0.08865699917078018,0.08865699917078018,1.0,0.10924040277798971
Qwen3.5-4B,-1,svd32,4,0.0030192240665201098,0.001532388967461884,0.006094356067478657,0.006094356067478657,0.006094356067478657,1.0,0.002878601779229939
Qwen3.5-4B,-1,svd4,4,0.017937722150236368,0.010953182354569435,0.02745804563164711,0.02745804563164711,0.02745804563164711,1.0,0.06005720049142838
Qwen3.5-4B,-1,svd8,4,0.010471752379089594,0.009195614606142044,0.014645959250628948,0.014645959250628948,0.014645959250628948,1.0,0.02807003570099672
Qwen3.5-4B,256,int8_layer_affine,4,0.0228445973189082,0.015190105885267258,0.05425013601779938,0.05425013601779938,0.05425013601779938,1.0,0.09152899826100716
Qwen3.5-4B,256,svd1,4,0.04063770838547498,0.038878072053194046,0.08113528043031693,0.08113528043031693,0.08113528043031693,1.0,0.1729909429947535
Qwen3.5-4B,256,svd16,4,0.0012903416682092939,0.0009783158311620355,0.0025412326212972403,0.0025412326212972403,0.0025412326212972403,1.0,0.005818490870296955
Qwen3.5-4B,256,svd2,4,0.04089085850864649,0.010163158178329468,0.07842723280191422,0.07842723280191422,0.07842723280191422,1.0,0.09411100794871648
Qwen3.5-4B,256,svd32,4,0.0015883217201917432,0.00026352782151661813,0.00396285206079483,0.00396285206079483,0.00396285206079483,1.0,0.0011733279291850824
Qwen3.5-4B,256,svd4,4,0.021318943123333156,0.003940357826650143,0.05801692232489586,0.05801692232489586,0.05801692232489586,1.0,0.04594813287258149
Qwen3.5-4B,256,svd8,4,0.004954038558935281,0.001582479104399681,0.010416200384497643,0.010416200384497643,0.010416200384497643,1.0,0.018825161270797253
