model,position,method,n,kl_mean,kl_p99
DeltaNet-1.3B,-1,svd1,6400,2.660600687531146,10.671746253967285
DeltaNet-1.3B,-1,svd16,6400,0.3030434284677455,2.856224775314331
DeltaNet-1.3B,-1,svd2,6400,1.8990498774659972,8.419241905212402
DeltaNet-1.3B,-1,svd32,6400,0.07631941868078726,0.840706467628479
DeltaNet-1.3B,-1,svd4,6400,1.2478262885954883,6.773115158081055
DeltaNet-1.3B,-1,svd8,6400,0.7071933542805958,4.78919792175293
DeltaNet-1.3B,256,svd1,6400,2.684507210283223,10.09488296508789
DeltaNet-1.3B,256,svd16,6400,0.08308051277199419,1.164613962173462
DeltaNet-1.3B,256,svd2,6400,1.8300927382443848,8.717934608459473
DeltaNet-1.3B,256,svd32,6400,0.0056191136657922315,0.0799645185470581
DeltaNet-1.3B,256,svd4,6400,0.8347970301829739,5.275261402130127
DeltaNet-1.3B,256,svd8,6400,0.30544512702531873,2.8758010864257812
GatedDeltaNet-1.3B,-1,svd1,6400,2.3216671974776544,11.135531425476074
GatedDeltaNet-1.3B,-1,svd16,6400,0.25889060406676107,3.053112030029297
GatedDeltaNet-1.3B,-1,svd2,6400,1.8842497399323361,9.546242713928223
GatedDeltaNet-1.3B,-1,svd32,6400,0.07969015114142683,1.1722419261932373
GatedDeltaNet-1.3B,-1,svd4,6400,1.3223062501915397,7.768441677093506
GatedDeltaNet-1.3B,-1,svd8,6400,0.6790815753462431,5.429089069366455
GatedDeltaNet-1.3B,256,svd1,6400,1.8442814085956984,9.710296630859375
GatedDeltaNet-1.3B,256,svd16,6400,0.07260430212702698,1.0717620849609375
GatedDeltaNet-1.3B,256,svd2,6400,1.2875249530401212,7.495289325714111
GatedDeltaNet-1.3B,256,svd32,6400,0.013898842060076758,0.20328718423843384
GatedDeltaNet-1.3B,256,svd4,6400,0.7419348501450798,5.593745231628418
GatedDeltaNet-1.3B,256,svd8,6400,0.2922073298801247,3.1114609241485596
Mamba2-1.3B,-1,svd1,6400,0.6658493509447723,4.58800745010376
Mamba2-1.3B,-1,svd16,6400,0.017862853899850702,0.263875812292099
Mamba2-1.3B,-1,svd2,6400,0.3229734372896091,2.9485621452331543
Mamba2-1.3B,-1,svd32,6400,0.005611478563589726,0.06884312629699707
Mamba2-1.3B,-1,svd4,6400,0.15075198393397132,1.866406798362732
Mamba2-1.3B,-1,svd8,6400,0.055128300749220344,0.8050937652587891
Mamba2-1.3B,256,svd1,6400,0.667240755609295,6.075299263000488
Mamba2-1.3B,256,svd16,6400,0.005056883410704493,0.06793400645256042
Mamba2-1.3B,256,svd2,6400,0.3956256543293249,4.201269149780273
Mamba2-1.3B,256,svd32,6400,0.0012213374493808592,0.012750066816806793
Mamba2-1.3B,256,svd4,6400,0.1794981167730684,2.7483553886413574
Mamba2-1.3B,256,svd8,6400,0.04161962587379315,0.7922674417495728
Nemotron-3-Nano-4B,-1,svd1,6400,0.07062033910791095,1.3244705200195312
Nemotron-3-Nano-4B,-1,svd16,6400,0.0004496906398037728,0.0063904449343681335
Nemotron-3-Nano-4B,-1,svd2,6400,0.02187207925745487,0.3809095323085785
Nemotron-3-Nano-4B,-1,svd32,6400,0.00019967240462997693,0.0021581649780273438
Nemotron-3-Nano-4B,-1,svd4,6400,0.007099178159636386,0.10707058012485504
Nemotron-3-Nano-4B,-1,svd8,6400,0.0017894335586619541,0.028165064752101898
Nemotron-3-Nano-4B,256,svd1,6400,0.11754880848337601,2.1876347064971924
Nemotron-3-Nano-4B,256,svd16,6400,0.0007512964890360824,0.006403610110282898
Nemotron-3-Nano-4B,256,svd2,6400,0.05279685938651026,0.8999237418174744
Nemotron-3-Nano-4B,256,svd32,6400,0.00037291812214933966,0.0027649328112602234
Nemotron-3-Nano-4B,256,svd4,6400,0.016515097269281104,0.20941366255283356
Nemotron-3-Nano-4B,256,svd8,6400,0.004294750238113189,0.0325939878821373
Qwen3.5-4B,-1,svd1,6400,0.09835263977797651,1.2850341796875
Qwen3.5-4B,-1,svd16,6400,0.007317152153489303,0.04602038115262985
Qwen3.5-4B,-1,svd2,6400,0.0500790186946889,0.5371659398078918
Qwen3.5-4B,-1,svd32,6400,0.0026709239510043915,0.014235028997063637
Qwen3.5-4B,-1,svd4,6400,0.02817174878882705,0.275136798620224
Qwen3.5-4B,-1,svd8,6400,0.015060479592631213,0.10310078412294388
Qwen3.5-4B,256,svd1,6400,0.11675324682345779,1.748563289642334
Qwen3.5-4B,256,svd16,6400,0.007774617257522709,0.03536998853087425
Qwen3.5-4B,256,svd2,6400,0.06452099905775117,0.9271406531333923
Qwen3.5-4B,256,svd32,6400,0.003454161526931308,0.007747974246740341
Qwen3.5-4B,256,svd4,6400,0.036754351719011084,0.3772279620170593
Qwen3.5-4B,256,svd8,6400,0.020898295692926082,0.1286531388759613
DeltaNet-1.3B,-1,int8_head_affine,6400,0.026073838160589745,0.40185022354125977
DeltaNet-1.3B,256,int8_head_affine,6400,0.10413489385281646,1.3130625486373901
GatedDeltaNet-1.3B,-1,int8_head_affine,6400,0.0010235896746845971,0.009777884930372238
