model,position,method,n,kl_mean,kl_median,kl_p90,kl_p99,kl_max,top1_agreement,state_rel_fro_squared_mean
DeltaNet-1.3B,-1,int8_head_affine,6400,0.026073838160589745,0.0037197014316916466,0.05652664229273796,0.40185022354125977,2.8144960403442383,0.96515625,0.006352301874339169
DeltaNet-1.3B,256,int8_head_affine,6400,0.10413489385281646,0.015342440456151962,0.26360219717025757,1.3130625486373901,4.24926233291626,0.94,0.00703741349934415
GatedDeltaNet-1.3B,-1,int8_head_affine,6400,0.0010235896746845971,0.00021545376512221992,0.002375710755586624,0.009777884930372238,0.08594876527786255,0.99453125,0.006445145336805723
GatedDeltaNet-1.3B,256,int8_head_affine,6400,0.0005107795463638678,0.00014625617768615484,0.0014101583510637283,0.0041809119284152985,0.03663961589336395,0.99453125,0.006754253987821046
Mamba2-1.3B,-1,int8_head_affine,6400,0.1577749511746724,0.03771976754069328,0.4000146985054016,1.6982783079147339,14.395676612854004,0.91140625,0.001528001317665255
Mamba2-1.3B,256,int8_head_affine,6400,0.0022704454855313905,0.00040909810923039913,0.005438849329948425,0.02299479767680168,0.690645158290863,0.98953125,0.0014013570484229388
Nemotron-3-Nano-4B,-1,int8_head_affine,6400,0.4327125790593655,0.029216082766652107,1.0585525035858154,6.592788219451904,15.629840850830078,0.8684375,0.0016405262273162542
Nemotron-3-Nano-4B,256,int8_head_affine,6400,0.41915584424983193,0.021602820605039597,0.9671456217765808,7.323902606964111,17.908401489257812,0.855,0.0017032630933815757
Qwen3.5-4B,-1,int8_head_affine,6400,0.015842894462224894,0.00039788245339877903,0.014477276243269444,0.12892258167266846,13.139430046081543,0.97796875,0.0049686975132302354
Qwen3.5-4B,256,int8_head_affine,6400,0.01722481648094049,0.001014055567793548,0.016649315133690834,0.17662324011325836,7.931497573852539,0.9765625,0.004992049752694751
